subNum,runNum,gender,hand,age,shape_diamondglass,cueloc,coninc,emo_HA_AN_NE,csi_125_500,exshuffle,resp,RT,hit,isi,iti,hit_notslow,slow,stimonset
PN1608,1,m,r,18,1,12,2,3,1,2,1,0.943524100119248,1,0.527272727272727,0.795804195804196,1,0,1275984.153924
PN1608,1,m,r,18,1,8,2,1,2,21,1,0.925943500129506,1,0.556643356643357,0.874125874125874,1,0,1275988.1295379
PN1608,1,m,r,18,2,7,2,3,1,10,2,0.589457700029016,1,0.423776223776224,0.66993006993007,1,0,1275991.7995995
PN1608,1,m,r,18,1,8,2,3,1,15,NaN,NaN,0,0.586013986013986,0.711888111888112,0,1,1275995.2657586
PN1608,1,m,r,18,2,8,1,2,1,7,NaN,NaN,0,0.45034965034965,0.728671328671329,0,1,1275998.7750465
PN1608,1,m,r,18,2,6,2,3,1,14,2,0.631100900005549,1,0.577622377622378,0.625174825174825,1,0,1276002.2988209
PN1608,1,m,r,18,1,3,2,3,1,16,1,0.931296000024304,1,0.594405594405594,0.86013986013986,1,0,1276005.720789
PN1608,1,m,r,18,1,8,2,3,2,13,2,0.785273700021207,0,0.46993006993007,0.6,0,0,1276009.7560077
PN1608,1,m,r,18,2,8,1,1,2,1,2,0.73363220016472,1,0.552447552447552,0.997202797202797,1,0,1276013.5297565
PN1608,1,m,r,18,1,5,1,1,2,1,1,0.551263599889353,1,0.54965034965035,0.751048951048951,1,0,1276017.6979751
PN1608,1,m,r,18,1,2,2,3,1,4,2,1.04194170003757,0,0.486713286713287,0.918881118881119,0,0,1276021.2420117
PN1608,1,m,r,18,2,5,2,1,1,3,2,0.706453300081193,1,0.551048951048951,0.773426573426573,1,0,1276024.9595386
PN1608,1,m,r,18,2,2,2,1,1,23,2,0.934122000122443,1,0.559440559440559,0.748251748251748,1,0,1276028.5305485
PN1608,1,m,r,18,1,2,1,2,1,5,1,0.890402300050482,1,0.59020979020979,0.927272727272727,1,0,1276032.0736482
