subNum,runNum,gender,hand,age,shape_diamondglass,cueloc,coninc,emo_HA_AN_NE,csi_125_500,exshuffle,resp,RT,hit,isi,iti,hit_notslow,slow,stimonset
PNMOCK01,1,f,r,16,2,1,2,2,1,24,1,0.571525399999928,0,0.46013986013986,0.734265734265734,0,0,2016.5354768
PNMOCK01,1,f,r,16,1,12,1,2,2,19,2,0.501221600000008,0,0.420979020979021,0.773426573426573,0,0,2020.4463479
PNMOCK01,1,f,r,16,2,12,2,2,1,10,1,0.427711999999929,0,0.588811188811189,0.748251748251748,0,0,2024.0194076
PNMOCK01,1,f,r,16,2,6,1,1,2,24,1,0.315705600000001,0,0.499300699300699,0.837762237762238,0,0,2027.9378027
PNMOCK01,1,f,r,16,1,5,2,2,1,21,2,0.412501999999904,0,0.405594405594406,0.972027972027972,0,0,2031.5693083
PNMOCK01,1,f,r,16,2,4,1,3,1,13,1,0.375485099999878,0,0.434965034965035,0.602797202797203,0,0,2035.3359046
PNMOCK01,1,f,r,16,1,11,1,3,2,14,2,0.445253299999877,0,0.546853146853147,0.854545454545454,0,0,2039.1126352
PNMOCK01,1,f,r,16,2,3,2,2,1,3,1,0.5964156,0,0.593006993006993,0.977622377622378,0,0,2042.766822
PNMOCK01,1,f,r,16,2,3,1,1,2,4,2,0.341917100000046,1,0.579020979020979,0.653146853146853,1,0,2046.917479
PNMOCK01,1,f,r,16,1,4,1,1,2,14,1,0.374622899999849,1,0.559440559440559,0.678321678321678,1,0,2050.7457983
PNMOCK01,1,f,r,16,1,9,1,2,1,23,1,0.531128499999795,1,0.408391608391608,0.658741258741259,1,0,2054.2210682
PNMOCK01,1,f,r,16,2,2,2,1,1,1,2,0.564101500000106,1,0.455944055944056,0.846153846153846,1,0,2057.6736161
PNMOCK01,1,f,r,16,1,3,1,1,1,8,1,0.479919100000188,1,0.472727272727273,0.700699300699301,1,0,2061.3134136
PNMOCK01,1,f,r,16,1,5,1,1,1,4,1,0.382774799999879,1,0.453146853146853,0.644755244755245,1,0,2064.8132153
PNMOCK01,1,f,r,16,1,5,1,3,2,22,1,0.369596300000012,1,0.525874125874126,0.73986013986014,1,0,2068.6318888
PNMOCK01,1,f,r,16,1,1,2,1,1,1,1,0.523924100000386,1,0.545454545454545,0.974825174825175,1,0,2072.1653085
PNMOCK01,1,f,r,16,1,6,1,3,2,15,1,0.476178100000197,1,0.447552447552448,0.871328671328671,1,0,2076.3103231
PNMOCK01,1,f,r,16,2,11,1,1,1,21,2,0.608576300000095,1,0.40979020979021,0.697902097902098,1,0,2079.9761479
PNMOCK01,1,f,r,16,1,7,1,2,1,19,1,0.511213000000225,1,0.577622377622378,0.910489510489511,1,0,2083.4692025
PNMOCK01,1,f,r,16,2,7,1,1,1,9,1,0.582346900000175,0,0.54965034965035,0.625174825174825,0,0,2087.1758909
PNMOCK01,1,f,r,16,2,4,2,3,1,17,2,0.50123960000019,1,0.521678321678322,0.941258741258741,1,0,2090.5976521
PNMOCK01,1,f,r,16,1,3,1,3,1,18,1,0.48918010000034,1,0.448951048951049,0.818181818181818,1,0,2094.3382927
PNMOCK01,1,f,r,16,2,4,2,1,2,18,2,0.376441899999918,1,0.415384615384615,0.893706293706294,1,0,2098.3256274
PNMOCK01,1,f,r,16,1,10,2,3,2,16,1,0.453169100000196,1,0.4,0.787412587412587,1,0,2102.3876926
PNMOCK01,1,f,r,16,2,7,1,2,2,7,2,0.428876500000115,1,0.595804195804196,0.717482517482517,1,0,2106.3428501
PNMOCK01,1,f,r,16,2,5,2,3,1,6,2,0.533468699999958,1,0.524475524475524,0.65034965034965,1,0,2109.8561182
PNMOCK01,1,f,r,16,1,9,2,2,1,12,1,0.462249499999871,1,0.464335664335664,0.969230769230769,1,0,2113.3021113
PNMOCK01,1,f,r,16,1,12,1,1,1,15,1,0.488426699999764,1,0.548251748251748,0.709090909090909,1,0,2117.0675387
