subNum,runNum,gender,hand,age,shape_diamondglass,cueloc,coninc,emo_HA_AN_NE,csi_125_500,exshuffle,resp,RT,hit,isi,iti,hit_notslow,slow,stimonset
mock05,1,f,r,17,1,6,1,1,1,2,1,1.06081419996917,1,0.447552447552448,0.72027972027972,1,0,869640.2680089
mock05,1,f,r,17,2,5,2,3,1,16,2,0.653713100007735,1,0.458741258741259,0.893706293706294,1,0,869643.7930366
mock05,1,f,r,17,2,3,2,2,1,23,2,0.641510599991307,1,0.465734265734266,0.655944055944056,1,0,869647.4856799
mock05,1,f,r,17,2,9,2,2,1,9,2,0.553445599973202,1,0.415384615384615,0.857342657342657,1,0,869650.934903
mock05,1,f,r,17,1,9,2,3,1,5,1,0.538324700086378,1,0.551048951048951,0.994405594405595,1,0,869654.588897
mock05,1,f,r,17,1,3,1,3,1,9,2,0.327278100070544,0,0.558041958041958,0.938461538461538,0,0,869658.3881291
mock05,1,f,r,17,1,10,2,2,1,13,1,0.498095199931413,1,0.475524475524476,0.700699300699301,1,0,869662.1217312
mock05,1,f,r,17,1,2,1,3,2,19,1,0.355339800007641,1,0.406993006993007,0.644755244755245,1,0,869665.9936958
mock05,1,f,r,17,1,10,2,3,2,18,1,0.398390599992126,1,0.53986013986014,0.731468531468531,1,0,869669.8121514
mock05,1,f,r,17,1,11,2,1,1,24,1,0.464031899929978,1,0.524475524475524,0.876923076923077,1,0,869673.3361425
mock05,1,f,r,17,1,3,2,3,1,12,1,0.456213700002991,1,0.511888111888112,0.639160839160839,1,0,869677.0108485
mock05,1,f,r,17,2,8,2,3,1,6,2,0.695395200047642,1,0.586013986013986,0.686713286713287,1,0,869680.444801
mock05,1,f,r,17,1,9,1,3,1,14,1,0.40430350007955,1,0.517482517482518,0.974825174825175,1,0,869683.9305841
mock05,1,f,r,17,2,6,2,2,2,8,2,0.546044499962591,1,0.486713286713287,0.759440559440559,1,0,869688.0803585
mock05,1,f,r,17,2,9,1,1,2,22,2,0.573965799994767,1,0.548251748251748,0.93006993006993,1,0,869692.010528
mock05,1,f,r,17,2,11,2,2,1,11,1,0.501786799984984,0,0.439160839160839,0.779020979020979,0,0,869695.7359666
mock05,1,f,r,17,1,12,2,1,1,6,1,0.692742599989288,1,0.58041958041958,0.944055944055944,1,0,869699.3150209
mock05,1,f,r,17,1,8,2,1,1,6,1,0.777957799960859,1,0.598601398601399,0.868531468531469,1,0,869703.056574
mock05,1,f,r,17,1,12,1,1,1,15,1,0.505767500028014,1,0.563636363636364,0.812587412587413,1,0,869706.7240994
mock05,1,f,r,17,2,9,1,2,2,14,2,0.688183000078425,1,0.503496503496504,0.787412587412587,1,0,869710.7085624
mock05,1,f,r,17,2,3,1,2,2,16,2,0.484146700007841,1,0.478321678321678,0.647552447552448,1,0,869714.6691559
mock05,1,f,r,17,1,3,1,2,1,20,1,0.513493400067091,1,0.555244755244755,0.921678321678322,1,0,869718.1119535
mock05,1,f,r,17,1,1,1,3,2,6,1,0.626433600089513,1,0.436363636363636,0.80979020979021,1,0,869722.2072471
mock05,1,f,r,17,1,8,1,2,2,23,1,0.447314099990763,1,0.467132867132867,0.907692307692308,1,0,869726.1919412
mock05,1,f,r,17,2,5,1,1,2,13,2,0.391236099996604,1,0.510489510489511,0.751048951048951,1,0,869730.2686228
mock05,1,f,r,17,1,4,1,3,2,19,1,0.451135999988765,1,0.453146853146853,0.611188811188811,1,0,869734.1877589
mock05,1,f,r,17,2,7,1,2,2,24,2,0.549046500003897,1,0.401398601398601,0.848951048951049,1,0,869737.9717853
mock05,1,f,r,17,2,6,1,3,2,22,2,0.457687499932945,1,0.432167832167832,0.871328671328671,1,0,869741.9942422
mock05,1,f,r,17,2,10,2,3,1,20,2,0.698968600016087,1,0.567832167832168,0.79020979020979,1,0,869745.6620549
mock05,1,f,r,17,2,2,1,2,1,1,2,0.55587389995344,1,0.576223776223776,0.767832167832168,1,0,869749.2563438
mock05,1,f,r,17,2,1,1,3,1,3,2,0.49692549998872,1,0.577622377622378,0.678321678321678,1,0,869752.8221282
mock05,1,f,r,17,1,11,1,2,2,23,1,0.475214199977927,1,0.48951048951049,0.890909090909091,1,0,869756.6702424
mock05,1,f,r,17,1,8,1,2,1,10,1,0.712286799913272,1,0.41958041958042,0.709090909090909,1,0,869760.3564598
mock05,1,f,r,17,1,11,1,3,1,3,1,0.506843199953437,1,0.570629370629371,0.697902097902098,1,0,869763.8678486
mock05,1,f,r,17,1,7,2,1,2,22,1,0.4484951000195,1,0.514685314685315,0.672727272727273,1,0,869767.7382158
mock05,1,f,r,17,1,6,1,2,2,17,1,0.460328400018625,1,0.565034965034965,0.692307692307692,1,0,869771.5806004
mock05,1,f,r,17,2,9,2,3,2,12,2,0.640911599970423,1,0.569230769230769,0.913286713286713,1,0,869775.4414458
mock05,1,f,r,17,2,3,2,1,2,9,2,0.502971299923956,1,0.521678321678322,0.653146853146853,1,0,869779.523687
mock05,1,f,r,17,1,2,2,1,1,6,2,0.958300599944778,0,0.413986013986014,0.846153846153846,0,0,869782.9709684
mock05,1,f,r,17,2,11,1,1,2,2,2,0.445845999987796,1,0.581818181818182,0.986013986013986,1,0,869786.9905357
mock05,1,f,r,17,2,7,1,3,1,17,2,0.687980200047605,1,0.499300699300699,0.988811188811189,1,0,869790.7763563
mock05,1,f,r,17,2,8,2,2,1,7,2,0.60878180002328,1,0.516083916083916,0.633566433566433,1,0,869794.5634877
mock05,1,f,r,17,2,2,2,2,2,24,2,0.56221220002044,1,0.594405594405594,0.723076923076923,1,0,869798.3669275
mock05,1,f,r,17,1,9,2,1,2,8,1,0.534460099996068,1,0.411188811188811,0.630769230769231,1,0,869802.2624087
mock05,1,f,r,17,2,9,1,1,1,21,2,0.627473899978213,1,0.595804195804196,0.972027972027972,1,0,869805.6906861
mock05,1,f,r,17,1,4,1,1,1,7,1,0.527737000025809,1,0.429370629370629,0.636363636363636,1,0,869809.4563228
mock05,1,f,r,17,2,8,2,2,2,19,1,1.50299750000704,0,0.525874125874126,0.608391608391608,0,0,869813.2656823
mock05,1,f,r,17,1,1,1,1,2,21,1,0.61436520004645,1,0.40979020979021,0.958041958041958,1,0,869817.0432182
mock05,1,f,r,17,1,6,2,1,2,7,1,0.577814500080422,1,0.490909090909091,0.804195804195804,1,0,869821.1712577
mock05,1,f,r,17,1,5,1,3,2,19,1,0.473019199911505,1,0.462937062937063,0.888111888111888,1,0,869825.1496649
mock05,1,f,r,17,2,7,1,1,2,9,2,0.514846900012344,1,0.523076923076923,0.927272727272727,1,0,869829.2119981
mock05,1,f,r,17,2,3,2,2,2,20,2,0.392076199990697,1,0.587412587412587,0.969230769230769,1,0,869833.3141586
mock05,1,f,r,17,2,1,2,3,1,18,2,0.488851199974306,1,0.455944055944056,0.997202797202797,1,0,869837.0783565
mock05,1,f,r,17,1,8,1,1,2,11,1,0.480532699963078,1,0.538461538461538,0.86013986013986,1,0,869841.2533206
mock05,1,f,r,17,2,10,1,3,1,5,2,0.604797799955122,1,0.474125874125874,0.6,1,0,869844.9132993
mock05,1,f,r,17,2,2,2,3,1,12,2,0.914895099936984,1,0.426573426573427,0.725874125874126,1,0,869848.3114361
mock05,1,f,r,17,1,11,2,2,2,12,2,0.378191800089553,0,0.451748251748252,0.703496503496504,0,0,869852.2090372
mock05,1,f,r,17,1,2,2,1,2,3,1,0.587830699980259,1,0.430769230769231,0.966433566433566,1,0,869856.0826929
mock05,1,f,r,17,2,4,1,3,1,10,2,0.6451077000238,1,0.483916083916084,0.826573426573427,1,0,869859.8447568
mock05,1,f,r,17,1,5,1,2,1,19,1,0.569969600066543,1,0.502097902097902,0.955244755244755,1,0,869863.4685284
mock05,1,f,r,17,1,12,1,3,2,21,1,0.503978500026278,1,0.518881118881119,0.98041958041958,1,0,869867.5974492
mock05,1,f,r,17,2,5,1,2,2,2,2,0.495585300028324,1,0.537062937062937,0.734265734265734,1,0,869871.758311
mock05,1,f,r,17,2,3,1,1,1,24,2,0.578791300067678,1,0.59020979020979,0.910489510489511,1,0,869875.2857713
mock05,1,f,r,17,1,10,1,2,1,8,1,0.610435500042513,1,0.506293706293706,0.68951048951049,1,0,869878.9901963
mock05,1,f,r,17,2,11,1,1,1,5,2,1.19990419992246,1,0.482517482517482,0.66993006993007,1,0,869882.4768893
mock05,1,f,r,17,1,11,1,3,2,17,1,0.538317999918945,1,0.560839160839161,0.675524475524475,1,0,869886.3188479
mock05,1,f,r,17,1,7,2,3,2,16,1,0.547302199993283,1,0.476923076923077,0.661538461538462,1,0,869890.1644011
mock05,1,f,r,17,2,12,2,3,1,8,2,0.554862699937075,1,0.422377622377622,1,1,0,869893.6218053
mock05,1,f,r,17,2,12,1,2,1,11,2,0.54872990003787,1,0.583216783216783,0.748251748251748,1,0,869897.4193215
mock05,1,f,r,17,2,7,1,2,1,11,2,0.495416300022043,1,0.562237762237762,0.745454545454545,1,0,869900.9666571
mock05,1,f,r,17,1,10,1,3,2,11,1,0.435446599964052,1,0.454545454545455,0.798601398601399,1,0,869904.8872347
mock05,1,f,r,17,2,4,2,1,1,4,2,0.727368400082923,1,0.412587412587413,0.865734265734266,1,0,869908.4903938
mock05,1,f,r,17,1,3,1,3,2,9,1,0.39205430005677,1,0.509090909090909,0.977622377622378,1,0,869912.5346525
mock05,1,f,r,17,1,12,2,1,2,20,1,0.537389499950223,1,0.471328671328671,0.683916083916084,1,0,869916.6809764
mock05,1,f,r,17,2,11,2,3,2,1,2,0.921092599979602,1,0.46013986013986,0.818181818181818,1,0,869920.5324224
mock05,1,f,r,17,1,4,2,3,2,15,1,0.397585099912249,1,0.507692307692308,0.935664335664336,1,0,869924.5212579
mock05,1,f,r,17,2,1,2,2,1,2,2,0.599713200004771,1,0.531468531468531,0.616783216783217,1,0,869928.2499808
mock05,1,f,r,17,1,4,2,3,1,10,1,0.509571100003086,1,0.405594405594406,0.742657342657343,1,0,869931.6593709
mock05,1,f,r,17,1,4,2,2,2,22,1,0.375742899952456,1,0.472727272727273,0.717482517482517,1,0,869935.570468
mock05,1,f,r,17,1,1,2,2,2,2,1,0.442658699932508,1,0.542657342657343,0.65034965034965,1,0,869939.4618569
mock05,1,f,r,17,1,10,2,1,1,6,1,0.530129399965517,1,0.446153846153846,0.781818181818182,1,0,869942.9089941
mock05,1,f,r,17,1,10,2,1,2,12,1,0.42661990004126,1,0.532867132867133,0.932867132867133,1,0,869946.8598005
mock05,1,f,r,17,2,4,1,2,2,21,2,0.4424770999467,1,0.492307692307692,0.834965034965035,1,0,869950.9620449
mock05,1,f,r,17,1,5,2,1,2,19,1,0.484169999952428,1,0.500699300699301,0.706293706293706,1,0,869954.9684946
mock05,1,f,r,17,2,1,2,3,2,20,2,0.503877299954183,1,0.402797202797203,0.756643356643357,1,0,869958.8449025
mock05,1,f,r,17,2,7,1,3,2,13,2,0.687883299891837,1,0.46993006993007,0.770629370629371,1,0,869962.7716256
mock05,1,f,r,17,1,2,2,2,1,14,1,0.619520999956876,1,0.45034965034965,0.904895104895105,1,0,869966.3399886
mock05,1,f,r,17,1,11,1,2,1,22,1,0.628457300015725,1,0.573426573426573,0.801398601398601,1,0,869970.0461043
mock05,1,f,r,17,2,12,1,1,2,12,2,0.522016400005668,1,0.579020979020979,0.776223776223776,1,0,869974.0204925
mock05,1,f,r,17,1,8,2,1,2,9,1,0.932073200005107,1,0.418181818181818,0.61958041958042,1,0,869977.9711715
mock05,1,f,r,17,2,4,2,1,2,24,2,0.439346999977715,1,0.425174825174825,0.773426573426573,1,0,869981.7625417
mock05,1,f,r,17,2,7,2,3,1,15,2,0.518112799967639,1,0.572027972027972,0.602797202797203,1,0,869985.3296851
mock05,1,f,r,17,1,6,1,1,2,20,1,0.953574000042863,1,0.433566433566434,0.667132867132867,1,0,869989.1025693
mock05,1,f,r,17,1,10,2,2,2,21,1,0.57626420003362,1,0.488111888111888,0.695104895104895,1,0,869992.938503
mock05,1,f,r,17,1,6,2,3,1,15,1,0.70191199996043,1,0.559440559440559,0.916083916083916,1,0,869996.4302523
mock05,1,f,r,17,2,9,2,2,2,1,2,0.612029399955645,1,0.566433566433566,0.658741258741259,1,0,870000.5203178
mock05,1,f,r,17,2,10,1,2,2,18,2,0.689497099956498,1,0.541258741258741,0.73986013986014,1,0,870004.3523595
mock05,1,f,r,17,1,10,1,1,1,4,1,0.545190999982879,1,0.4,0.874125874125874,1,0,870007.885368
mock05,1,f,r,17,2,5,2,1,1,17,2,0.567995199933648,1,0.423776223776224,0.737062937062937,1,0,870011.5638635
mock05,1,f,r,17,2,8,2,3,2,14,2,0.867542100022547,1,0.593006993006993,0.963636363636364,1,0,870015.472675
mock05,1,f,r,17,1,5,2,2,1,3,1,0.668439600034617,1,0.513286713286713,0.94965034965035,1,0,870019.2341896
mock05,1,f,r,17,2,2,1,1,1,7,2,0.515695899957791,1,0.485314685314685,0.641958041958042,1,0,870022.9837942
mock05,1,f,r,17,2,7,1,1,1,4,2,0.53966989996843,1,0.408391608391608,0.681118881118881,1,0,870026.4184471
mock05,1,f,r,17,2,2,1,3,1,2,2,0.535285099991597,1,0.497902097902098,0.899300699300699,1,0,870029.8948101
mock05,1,f,r,17,2,6,2,3,2,3,2,0.510891200043261,1,0.545454545454545,0.664335664335664,1,0,870033.967567
mock05,1,f,r,17,2,5,1,1,1,4,2,0.502880299929529,1,0.437762237762238,0.843356643356643,1,0,870037.4270615
mock05,1,f,r,17,2,2,2,3,2,3,2,0.421339399996214,1,0.574825174825175,0.885314685314685,1,0,870041.4395909
mock05,1,f,r,17,1,1,2,1,2,22,1,0.677690299926326,1,0.434965034965035,0.711888111888112,1,0,870045.4948213
mock05,1,f,r,17,2,3,2,1,1,10,2,0.552888600039296,1,0.416783216783217,0.854545454545454,1,0,870049.0015997
mock05,1,f,r,17,1,7,2,2,2,17,1,0.473169200005941,1,0.440559440559441,0.941258741258741,1,0,870053.0325495
mock05,1,f,r,17,2,5,2,2,2,7,2,0.502536799991503,1,0.6,0.832167832167832,1,0,870057.1489239
mock05,1,f,r,17,1,12,1,3,1,15,1,0.61310900002718,1,0.535664335664336,0.714685314685315,1,0,870060.7746288
mock05,1,f,r,17,2,9,1,2,1,21,2,0.562077299924567,1,0.495104895104895,0.851748251748252,1,0,870064.2835459
mock05,1,f,r,17,2,3,1,1,2,23,2,0.391341099981219,1,0.534265734265734,0.605594405594406,1,0,870068.3083842
mock05,1,f,r,17,2,12,2,2,1,18,2,0.534022599924356,1,0.404195804195804,0.829370629370629,1,0,870071.7073971
mock05,1,f,r,17,1,6,2,2,1,8,1,0.66494829999283,1,0.496503496503497,0.896503496503497,1,0,870075.3332068
mock05,1,f,r,17,2,12,2,2,2,16,2,0.340121999965049,1,0.493706293706294,0.806993006993007,1,0,870079.4012237
mock05,1,f,r,17,1,9,1,3,2,10,1,0.511592400027439,1,0.556643356643357,0.793006993006993,1,0,870083.3820872
