subNum,runNum,gender,hand,age,shape_diamondglass,cueloc,coninc,emo_HA_AN_NE,csi_125_500,exshuffle,resp,RT,hit,isi,iti,hit_notslow,slow,stimonset
test65010017,1,f,r,13,2,3,2,1,1,11,1,0.465088800003286,0,0.53006993006993,0.798601398601399,0,0,440200.7485001
test65010017,1,f,r,13,1,6,2,1,1,19,1,0.269580900028814,1,0.542657342657343,0.874125874125874,1,0,440204.3473494
test65010017,1,f,r,13,2,5,2,3,1,16,2,0.246132200001739,1,0.471328671328671,0.840559440559441,1,0,440208.0326435
test65010017,1,f,r,13,2,6,1,3,2,22,1,0.538656999997329,0,0.586013986013986,0.902097902097902,0,0,440212.0495988
test65010017,1,f,r,13,1,9,2,3,2,10,2,1.62625680002384,0,0.412587412587413,0.737062937062937,0,0,440216.1283904
test65010017,1,f,r,13,1,1,2,3,1,22,2,0.263847000023816,0,0.41958041958042,0.72027972027972,0,0,440219.6714286
test65010017,1,f,r,13,1,4,2,3,1,1,1,0.508479100011755,1,0.523076923076923,0.98041958041958,1,0,440223.1905653
test65010017,1,f,r,13,1,7,1,1,1,2,NaN,NaN,0,0.548251748251748,0.986013986013986,0,1,440226.9656886
test65010017,1,f,r,13,2,10,1,1,2,4,NaN,NaN,0,0.430769230769231,0.745454545454545,0,1,440231.1233182
test65010017,1,f,r,13,1,10,1,3,2,7,NaN,NaN,0,0.514685314685315,0.86013986013986,0,1,440235.0443901
test65010017,1,f,r,13,2,10,1,2,2,5,NaN,NaN,0,0.420979020979021,0.801398601398601,0,1,440239.0734679
test65010017,1,f,r,13,2,5,2,1,2,14,NaN,NaN,0,0.565034965034965,0.988811188811189,0,1,440243.0486423
test65010017,1,f,r,13,2,12,1,3,2,7,NaN,NaN,0,0.455944055944056,0.885314685314685,0,1,440247.209209
test65010017,1,f,r,13,2,5,1,3,2,16,NaN,NaN,0,0.451748251748252,0.770629370629371,0,1,440251.2643524
test65010017,1,f,r,13,2,3,2,2,1,10,NaN,NaN,0,0.569230769230769,0.876923076923077,0,1,440254.8302425
test65010017,1,f,r,13,1,1,2,3,2,24,NaN,NaN,0,0.46013986013986,0.843356643356643,0,1,440258.8801818
test65010017,1,f,r,13,2,5,1,1,2,7,NaN,NaN,0,0.560839160839161,0.636363636363636,0,1,440262.8949545
test65010017,1,f,r,13,1,4,2,2,2,4,NaN,NaN,0,0.538461538461538,0.823776223776224,0,1,440266.702377
test65010017,1,f,r,13,2,3,2,1,2,18,NaN,NaN,0,0.486713286713287,0.932867132867133,0,1,440270.6958421
test65010017,1,f,r,13,2,2,2,2,2,15,NaN,NaN,0,0.597202797202797,0.647552447552448,0,1,440274.7977559
test65010017,1,f,r,13,1,6,1,2,2,22,NaN,NaN,0,0.584615384615385,0.664335664335664,0,1,440278.6152945
test65010017,1,f,r,13,1,11,1,3,2,10,NaN,NaN,0,0.562237762237762,0.815384615384615,0,1,440282.451928
test65010017,1,f,r,13,2,3,1,1,1,13,NaN,NaN,0,0.462937062937063,0.784615384615385,0,1,440286.0600983
test65010017,1,f,r,13,1,2,2,1,2,3,NaN,NaN,0,0.541258741258741,0.793006993006993,0,1,440290.0164186
test65010017,1,f,r,13,1,12,2,2,1,2,NaN,NaN,0,0.500699300699301,0.829370629370629,0,1,440293.611099
test65010017,1,f,r,13,1,6,1,1,1,2,NaN,NaN,0,0.416783216783217,0.627972027972028,0,1,440297.2348618
test65010017,1,f,r,13,2,4,2,1,1,21,NaN,NaN,0,0.423776223776224,0.890909090909091,0,1,440300.6574254
test65010017,1,f,r,13,2,3,1,2,1,23,NaN,NaN,0,0.474125874125874,0.896503496503497,0,1,440304.3443499
test65010017,1,f,r,13,1,12,2,1,1,19,NaN,NaN,0,0.534265734265734,0.868531468531469,0,1,440308.038473
test65010017,1,f,r,13,2,9,2,1,1,3,NaN,NaN,0,0.499300699300699,0.921678321678322,0,1,440311.7042946
test65010017,1,f,r,13,1,6,1,1,2,13,NaN,NaN,0,0.402797202797203,0.806993006993007,0,1,440315.7989077
test65010017,1,f,r,13,2,9,1,2,1,6,NaN,NaN,0,0.413986013986014,0.605594405594406,0,1,440319.3990913
test65010017,1,f,r,13,1,1,2,1,1,15,NaN,NaN,0,0.432167832167832,0.675524475524475,0,1,440322.8015571
test65010017,1,f,r,13,1,10,2,2,1,14,NaN,NaN,0,0.502097902097902,0.703496503496504,0,1,440326.2740446
test65010017,1,f,r,13,1,8,2,3,1,17,NaN,NaN,0,0.566433566433566,0.882517482517483,0,1,440329.7751903
test65010017,1,f,r,13,1,3,1,3,1,17,NaN,NaN,0,0.509090909090909,0.728671328671329,0,1,440333.4553695
test65010017,1,f,r,13,1,1,2,2,1,5,NaN,NaN,0,0.483916083916084,0.913286713286713,0,1,440336.9801065
test65010017,1,f,r,13,1,8,1,3,2,11,NaN,NaN,0,0.52027972027972,0.717482517482517,0,1,440341.066824
test65010017,1,f,r,13,1,5,2,2,2,14,NaN,NaN,0,0.490909090909091,0.723076923076923,0,1,440344.9548086
test65010017,1,f,r,13,1,2,1,3,2,3,NaN,NaN,0,0.595804195804196,0.61958041958042,0,1,440348.8498949
test65010017,1,f,r,13,2,9,1,1,2,5,NaN,NaN,0,0.493706293706294,0.974825174825175,0,1,440352.6410925
test65010017,1,f,r,13,1,7,1,1,2,19,NaN,NaN,0,0.425174825174825,0.832167832167832,0,1,440356.7889065
test65010017,1,f,r,13,2,8,2,3,2,14,NaN,NaN,0,0.446153846153846,0.795804195804196,0,1,440360.7918236
test65010017,1,f,r,13,1,11,2,3,1,9,NaN,NaN,0,0.516083916083916,0.742657342657343,0,1,440364.3859381
test65010017,1,f,r,13,2,2,1,3,1,14,NaN,NaN,0,0.572027972027972,0.753846153846154,0,1,440367.9231406
test65010017,1,f,r,13,1,8,1,2,1,15,NaN,NaN,0,0.405594405594406,0.6,0,1,440371.4714983
test65010017,1,f,r,13,1,10,1,2,1,4,NaN,NaN,0,0.528671328671329,0.661538461538462,0,1,440374.8643854
test65010017,1,f,r,13,2,8,2,1,1,23,NaN,NaN,0,0.591608391608392,0.997202797202797,0,1,440378.3209198
test65010017,1,f,r,13,2,11,1,1,1,13,NaN,NaN,0,0.574825174825175,0.994405594405595,0,1,440382.1162057
test65010017,1,f,r,13,1,2,2,3,2,6,NaN,NaN,0,0.503496503496504,0.916083916083916,0,1,440386.279509
test65010017,1,f,r,13,1,4,1,1,2,21,NaN,NaN,0,0.513286713286713,0.773426573426573,0,1,440390.3677823
test65010017,1,f,r,13,2,11,2,2,1,5,NaN,NaN,0,0.422377622377622,0.93006993006993,0,1,440393.9399237
test65010017,1,f,r,13,2,12,1,3,1,13,NaN,NaN,0,0.45034965034965,0.944055944055944,0,1,440397.6661078
test65010017,1,f,r,13,1,5,1,2,2,17,NaN,NaN,0,0.433566433566434,0.857342657342657,0,1,440401.7846468
test65010017,1,f,r,13,1,2,1,1,2,24,NaN,NaN,0,0.521678321678322,0.94965034965035,0,1,440405.8156563
test65010017,1,f,r,13,2,11,1,3,1,21,NaN,NaN,0,0.447552447552448,0.765034965034965,0,1,440409.5609724
test65010017,1,f,r,13,1,12,1,2,2,4,NaN,NaN,0,0.492307692307692,0.820979020979021,0,1,440413.4943925
